 i1 j1 k1 i2 j2 k2   <i1j1k1|H|i2j2k2> 
  0  0  0  2  0  0     0.00000007
  0  0  0  3  0  0     0.00000001
  1  0  0  3  0  0     0.00000011
  0  0  0  4  0  0     0.00000000
  1  0  0  4  0  0     0.00000001
  2  0  0  4  0  0     0.00000015
  0  0  0  5  0  0     0.00000000
  1  0  0  5  0  0     0.00000001
  2  0  0  5  0  0    -0.00000002
  3  0  0  5  0  0    -0.00000018
  0  0  0  6  0  0     0.00000000
  1  0  0  6  0  0     0.00000000
  2  0  0  6  0  0     0.00000002
  3  0  0  6  0  0    -0.00000003
  4  0  0  6  0  0    -0.00000021
  0  0  0  7  0  0     0.00000000
  1  0  0  7  0  0     0.00000000
  2  0  0  7  0  0     0.00000000
  3  0  0  7  0  0    -0.00000002
  4  0  0  7  0  0     0.00000003
  5  0  0  7  0  0    -0.00000024
  0  0  0  8  0  0     0.00000000
  1  0  0  8  0  0     0.00000000
  2  0  0  8  0  0     0.00000000
  3  0  0  8  0  0     0.00000000
  4  0  0  8  0  0     0.00000003
  5  0  0  8  0  0     0.00000003
  6  0  0  8  0  0     0.00000027
  0  0  0  9  0  0     0.00000000
  1  0  0  9  0  0     0.00000000
  2  0  0  9  0  0     0.00000000
  3  0  0  9  0  0     0.00000000
  4  0  0  9  0  0    -0.00000001
  5  0  0  9  0  0    -0.00000004
  6  0  0  9  0  0    -0.00000002
  7  0  0  9  0  0    -0.00000035
  0  0  0 10  0  0     0.00000000
  1  0  0 10  0  0     0.00000000
  2  0  0 10  0  0     0.00000000
  3  0  0 10  0  0     0.00000000
  4  0  0 10  0  0     0.00000000
  5  0  0 10  0  0    -0.00000003
  6  0  0 10  0  0     0.00000006
  7  0  0 10  0  0    -0.00000006
  8  0  0 10  0  0    -0.00000046
  2  0  0  0  1  0     0.00034448
  3  0  0  0  1  0     0.00004254
  4  0  0  0  1  0    -0.00002448
  5  0  0  0  1  0    -0.00000023
  6  0  0  0  1  0    -0.00000147
  7  0  0  0  1  0    -0.00000013
  8  0  0  0  1  0     0.00000015
  9  0  0  0  1  0    -0.00000011
 10  0  0  0  1  0     0.00000003
  0  0  0  0  2  0     0.00000001
  1  0  0  0  2  0     0.00005634
  2  0  0  0  2  0    -0.00019070
  3  0  0  0  2  0    -0.00000807
  4  0  0  0  2  0     0.00001072
  5  0  0  0  2  0     0.00000067
  6  0  0  0  2  0     0.00000044
  7  0  0  0  2  0     0.00000009
  8  0  0  0  2  0     0.00000000
  9  0  0  0  2  0     0.00000003
 10  0  0  0  2  0     0.00000001
  0  0  0  0  3  0     0.00000000
  1  0  0  0  3  0     0.00003292
  2  0  0  0  3  0    -0.00007241
  3  0  0  0  3  0    -0.00000195
  4  0  0  0  3  0     0.00000426
  5  0  0  0  3  0     0.00000036
  6  0  0  0  3  0     0.00000018
  7  0  0  0  3  0     0.00000005
  8  0  0  0  3  0     0.00000000
  9  0  0  0  3  0     0.00000001
 10  0  0  0  3  0     0.00000001
  0  1  0  0  3  0    -0.00000002
  0  0  0  0  4  0     0.00000000
  1  0  0  0  4  0    -0.00001382
  2  0  0  0  4  0     0.00002681
  3  0  0  0  4  0     0.00000061
  4  0  0  0  4  0    -0.00000169
  5  0  0  0  4  0    -0.00000014
  6  0  0  0  4  0    -0.00000008
  7  0  0  0  4  0    -0.00000001
  8  0  0  0  4  0     0.00000001
  9  0  0  0  4  0     0.00000000
 10  0  0  0  4  0     0.00000000
  0  1  0  0  4  0     0.00000001
  0  2  0  0  4  0    -0.00000002
  0  0  0  0  5  0     0.00000000
  1  0  0  0  5  0    -0.00000545
  2  0  0  0  5  0     0.00001017
  3  0  0  0  5  0     0.00000023
  4  0  0  0  5  0    -0.00000068
  5  0  0  0  5  0    -0.00000005
  6  0  0  0  5  0    -0.00000003
  7  0  0  0  5  0     0.00000001
  8  0  0  0  5  0     0.00000000
  9  0  0  0  5  0     0.00000001
 10  0  0  0  5  0     0.00000000
  0  1  0  0  5  0     0.00000000
  0  2  0  0  5  0    -0.00000001
  0  3  0  0  5  0    -0.00000003
  0  0  0  0  6  0     0.00000000
  1  0  0  0  6  0     0.00000215
  2  0  0  0  6  0    -0.00000400
  3  0  0  0  6  0    -0.00000008
  4  0  0  0  6  0     0.00000027
  5  0  0  0  6  0     0.00000002
  6  0  0  0  6  0     0.00000000
  7  0  0  0  6  0    -0.00000001
  8  0  0  0  6  0     0.00000000
  9  0  0  0  6  0    -0.00000001
 10  0  0  0  6  0     0.00000000
  0  1  0  0  6  0     0.00000000
  0  2  0  0  6  0     0.00000000
  0  3  0  0  6  0     0.00000001
  0  4  0  0  6  0    -0.00000003
  0  0  0  0  7  0     0.00000000
  1  0  0  0  7  0    -0.00000087
  2  0  0  0  7  0     0.00000164
  3  0  0  0  7  0     0.00000003
  4  0  0  0  7  0    -0.00000011
  5  0  0  0  7  0    -0.00000001
  6  0  0  0  7  0     0.00000000
  7  0  0  0  7  0     0.00000001
  8  0  0  0  7  0     0.00000000
  9  0  0  0  7  0     0.00000001
 10  0  0  0  7  0     0.00000000
  0  1  0  0  7  0     0.00000000
  0  2  0  0  7  0     0.00000000
  0  3  0  0  7  0    -0.00000001
  0  4  0  0  7  0     0.00000002
  0  5  0  0  7  0     0.00000004
  0  0  0  0  8  0     0.00000000
  1  0  0  0  8  0    -0.00000037
  2  0  0  0  8  0     0.00000070
  3  0  0  0  8  0     0.00000001
  4  0  0  0  8  0    -0.00000005
